ID,Globalisation_score
BMU_1988,34.69
BMU_1989,34.63
BMU_1990,34.63
BMU_1991,34.96
BMU_1992,35.19
BMU_1993,35.41
BMU_1994,35.41
BMU_1995,35.41
BMU_1996,35.99
BMU_1997,36.27
BMU_1998,36.46
BMU_1999,36.59
BMU_2000,36.75
BMU_2001,36.84
BMU_2002,36.94
BMU_2003,36.98
BMU_2004,37.49
BMU_2005,37.52
BMU_2006,37.19
BMU_2007,37.10
BMU_2008,37.28
BMU_2009,37.67
BMU_2010,37.28
BMU_2011,37.23
BOL_1970,32.56
BOL_1971,32.77
BOL_1972,33.05
BOL_1973,34.33
BOL_1974,35.15
BOL_1975,35.39
BOL_1976,35.81
BOL_1977,36.67
BOL_1978,37.65
BOL_1979,38.08
BOL_1980,38.38
BOL_1981,38.44
BOL_1982,38.88
BOL_1983,39.48
BOL_1984,39.35
BOL_1985,39.52
BOL_1986,40.17
BOL_1987,38.92
BOL_1988,37.78
BOL_1989,37.26
BOL_1990,37.73
BOL_1991,39.57
BOL_1992,39.23
BOL_1993,39.86
BOL_1994,45.46
BOL_1995,41.75
BOL_1996,42.78
BOL_1997,47.29
BOL_1998,53.52
BOL_1999,54.66
BOL_2000,55.18
BOL_2001,54.21
BOL_2002,51.48
BOL_2003,52.15
BOL_2004,53.63
BOL_2005,54.26
BOL_2006,54.93
BOL_2007,54.12
BOL_2008,53.87
BOL_2009,53.86
BOL_2010,53.33
BOL_2011,53.14
BRA_1970,38.36
BRA_1971,38.40
BRA_1972,38.51
BRA_1973,38.78
BRA_1974,38.97
BRA_1975,39.06
BRA_1976,39.26
BRA_1977,39.45
BRA_1978,39.64
BRA_1979,43.46
BRA_1980,43.82
BRA_1981,43.90
BRA_1982,44.19
BRA_1983,45.05
BRA_1984,45.24
BRA_1985,44.98
BRA_1986,44.39
BRA_1987,43.31
BRA_1988,42.31
BRA_1989,44.89
BRA_1990,45.01
BRA_1991,48.64
BRA_1992,50.31
BRA_1993,51.80
BRA_1994,52.25
BRA_1995,53.41
BRA_1996,54.82
BRA_1997,55.66
BRA_1998,55.69
BRA_1999,56.77
BRA_2000,56.28
BRA_2001,58.93
BRA_2002,59.44
BRA_2003,58.23
BRA_2004,59.27
BRA_2005,59.78
BRA_2006,59.62
BRA_2007,60.29
BRA_2008,58.82
BRA_2009,59.31
BRA_2010,59.79
BRA_2011,59.78
BRB_1970,41.63
BRB_1971,42.01
BRB_1972,42.27
BRB_1973,42.46
BRB_1974,42.09
BRB_1975,42.70
BRB_1976,41.83
BRB_1977,42.15
BRB_1978,42.20
BRB_1979,43.11
BRB_1980,42.96
BRB_1981,43.27
BRB_1982,43.10
BRB_1983,44.04
BRB_1984,44.12
BRB_1985,44.21
BRB_1986,45.07
BRB_1987,44.04
BRB_1988,43.83
BRB_1989,43.27
BRB_1990,43.05
BRB_1991,43.72
BRB_1992,43.51
BRB_1993,43.95
BRB_1994,44.17
BRB_1995,50.28
BRB_1996,51.74
BRB_1997,46.62
BRB_1998,46.98
BRB_1999,47.34
BRB_2000,48.19
BRB_2001,49.38
BRB_2002,50.81
BRB_2003,51.64
BRB_2004,51.68
BRB_2005,55.32
BRB_2006,56.41
BRB_2007,57.07
BRB_2008,54.42
BRB_2009,56.03
BRB_2010,56.73
BRB_2011,57.21
BTN_1970,20.46
BTN_1971,22.59
BTN_1972,22.59
BTN_1973,22.95
BTN_1974,22.89
BTN_1975,22.59
BTN_1976,22.49
BTN_1977,22.49
BTN_1978,22.44
BTN_1979,22.54
BTN_1980,22.49
BTN_1981,22.86
BTN_1982,22.96
BTN_1983,23.07
BTN_1984,23.16
BTN_1985,23.32
BTN_1986,23.37
BTN_1987,23.42
BTN_1988,23.42
BTN_1989,23.58
BTN_1990,23.58
BTN_1991,24.18
BTN_1992,22.97
BTN_1993,23.07
