ID,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29,sig_30,sig_31,sig_32,sig_33,sig_34,sig_35,sig_36,sig_37,sig_38,sig_39,sig_40,sig_41,sig_42,sig_43,sig_44,sig_45,sig_46,sig_47,sig_48,sig_49,sig_50,sig_51,sig_52,sig_53,sig_54,sig_55,sig_56,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_67,sig_68,sig_69,sig_70,sig_71,sig_72
AGO,1,64,0,0,66,0,1650,0,0,366,0,0,0,0,0,36,0,0,101,2185,0,0,25923,0,1703,0,0,17,0,0,0,10192,0,0,0,19,0,0,0,4147,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
QAT,1,51,0,0,80,0,919,0,0,356,0,0,0,0,0,65,0,0,328,1265,0,0,9959,0,2479,0,0,46,0,0,0,5656,0,0,0,7,0,0,0,3842,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JAM,1,64,0,0,66,0,1650,0,0,366,0,0,0,0,0,36,0,0,101,2185,0,0,25923,0,1703,0,0,17,0,0,0,10192,0,0,0,19,0,0,0,4147,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BRN,2,95,0,1,168,0,1596,0,0,619,13,0,41,0,0,104,0,0,756,2499,0,0,16100,0,4763,36,0,66,0,6,0,9357,41,0,0,16,0,0,0,6169,485,0,0,1,0,239,57,0,0,0,0,0,0,0,535,0,2164,0,0,48,0,0,0,0,0,285,0,0,0,0,0,0,0,
BHS,1,64,0,0,66,0,1650,0,0,366,0,0,0,0,0,36,0,0,101,2185,0,0,25923,0,1703,0,0,17,0,0,0,10192,0,0,0,19,0,0,0,4147,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COD,1,29,0,0,211,0,168,0,0,238,0,0,0,0,0,107,0,0,1863,839,0,0,643,0,3979,0,0,106,0,0,0,615,0,0,0,18,0,0,0,1377,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TTO,1,64,0,0,66,0,1650,0,0,366,0,0,0,0,0,36,0,0,101,2185,0,0,25923,0,1703,0,0,17,0,0,0,10192,0,0,0,19,0,0,0,4147,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GTM,1,64,0,0,66,0,1650,0,0,366,0,0,0,0,0,36,0,0,101,2185,0,0,25923,0,1703,0,0,17,0,0,0,10192,0,0,0,19,0,0,0,4147,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MTQ,1,51,0,0,92,0,919,0,0,356,0,0,0,0,0,13,0,0,394,1683,0,0,9867,0,2589,0,0,12,0,0,0,5855,0,0,0,12,0,0,0,3720,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CMR,1,51,0,0,92,0,919,0,0,356,0,0,0,0,0,13,0,0,394,1683,0,0,9867,0,2589,0,0,12,0,0,0,5855,0,0,0,12,0,0,0,3720,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
