country_year,BCA,KC,KG,KI,LE,OPENK,POP,RGDPCH,RGDPL,RGDPL2,XRAT
AUT_1999,-3.08118964,65.95223865,6.961723027,26.26475778,3.108,79.74829695,8094.156,32662.62411,32662.34342,32676.29061,0.938627
AUT_2000,-1.25452908,65.43886556,6.675747903,25.87539621,3.134,86.64168963,8113.413,33625.04679,33625.00136,33625.05641,1.0854
AUT_2001,-1.42622844,65.61923978,6.570262781,25.46583808,3.148,90.97177669,8131.69,33836.82024,33838.9581,33841.50042,1.11751
AUT_2002,5.11319016,65.45517154,6.390095054,23.84052855,3.155,91.2308498,8148.312,34261.67351,34266.47024,34297.20719,1.06255
AUT_2003,4.01862315,65.63792765,6.394341977,24.93897231,3.185,92.91427274,8162.656,34557.62538,34558.4242,34560.44564,0.886034
AUT_2004,6.19817544,65.48857744,6.357196086,24.75569111,3.199,100.0642533,8174.762,35231.55174,35231.65145,35235.25059,0.805365
AUT_2005,6.615,65.10450469,6.279742272,24.61475295,3.23,104.1306324,8184.691,36150.99452,36150.99452,36150.99452,0.80412
AUT_2006,9.40640872,64.27995261,6.162298812,24.18358985,3.281,107.2704479,8192.88,37348.43391,37348.43391,37348.46284,0.797141
AUT_2007,14.00496768,62.67327831,5.962237326,24.84590215,3.344,111.5388695,8199.783,38766.12992,38761.10037,38718.32883,0.730638
AUT_2008,21.98371418,62.51032834,6.208300796,24.02306906,3.389,110.6390585,8205.533,39335.56473,39329.92039,39335.13495,0.682675
AUT_2009,11.42168412,65.19582513,6.4750465,22.11755274,3.339,99.27041327,8210.281,37635.87286,37634.09142,37725.8401,0.719843
AUT_2010,12.69204955,64.68639765,6.291613977,22.3396875,3.36,104.6779996,8214.16,38585.51335,38585.63035,38654.49986,0.755045
BEL_1980,-2.35996896,66.53973785,7.212723327,27.63662153,3.681,87.81980055,9846.8,21586.99866,21585.28277,21621.90677,0.724882808
BEL_1981,-2.1880222,68.27670749,7.692524889,23.07049759,3.644,90.35284059,9852.4,21091.76619,21112.06082,21359.59939,0.920411305
BEL_1982,-1.44581613,69.62615676,7.520036392,21.23766939,3.597,91.81106393,9856.303,21165.94117,21199.32453,21511.98279,1.132640388
BEL_1983,-0.28653044,70.12850416,7.399754047,19.04325112,3.551,93.28970732,9855.52,20969.36075,21017.52561,21401.21982,1.267521734
BEL_1984,-0.0328999,68.3262854,7.265082878,20.83050187,3.552,96.3843151,9855.3,21610.79972,21651.98633,21957.33229,1.432425465
BEL_1985,0.415989,69.3898808,7.14767327,19.94692978,3.572,95.65466897,9858.2,21842.86956,21891.11009,22232.48272,1.471942171
BEL_1986,1.93319379,69.58229404,7.167721518,20.5568022,3.594,96.76987589,9861.8,22369.98565,22415.94185,22745.3396,1.107387475
BEL_1987,1.81558019,69.2533723,6.834659047,21.96862177,3.615,100.1932424,9870.2,22856.83388,22893.74443,23146.55762,0.925488164
BEL_1988,2.41298554,67.51151475,6.203909575,24.63927081,3.677,104.0078941,9884.0,24228.93661,24229.76712,24320.01718,0.911462349
BEL_1989,2.50755508,66.9153301,5.926989908,26.20753041,3.721,108.6802567,9937.697,25141.23695,25117.78109,25115.26972,0.976799645
BEL_1990,2.62816894,66.35303868,5.724797688,27.1198434,3.754,109.3813139,9969.31,26096.48145,26051.88919,25985.64118,0.828408102
BEL_1991,3.56381949,67.2494834,6.119386906,25.71292067,3.758,110.7920727,10004.487,26393.07547,26387.8592,26427.86624,0.846514245
BEL_1992,5.10449072,67.41687229,6.133135687,25.7569339,3.74,113.2278973,10045.622,26719.78859,26714.77152,26756.14887,0.796965288
BEL_1993,8.8084079,67.83977104,6.24362526,25.26549263,3.831,113.9913959,10085.426,26322.00596,26324.90292,26401.60953,0.857624833
BEL_1994,10.07244,67.08611746,6.340586887,25.31897345,3.817,118.6830943,10122.914,27157.83954,27157.24311,27235.39147,0.829364971
BEL_1995,12.55982555,66.29992618,6.577005391,25.64739341,3.873,121.0422885,10155.459,27828.04517,27822.91197,27901.79715,0.730790111
BEL_1996,11.50587924,66.77949381,6.547943503,25.45934563,3.883,124.1769425,10178.934,28132.14211,28131.01613,28221.90975,0.767515537
BEL_1997,11.71406934,65.46556419,6.388210949,26.21851811,3.91,130.9087877,10199.787,29166.90268,29148.16062,29174.95143,0.886811817
BEL_1998,11.34402665,65.78711901,6.336431867,26.4024,3.978,135.0407962,10217.03,29681.99154,29662.32984,29678.57397,0.89981879
BEL_1999,17.4293901,64.81818891,6.382494136,26.14579805,4.033,135.188003,10235.655,30658.74067,30638.94217,30663.07753,0.938627
BEL_2000,8.33365746,64.11979968,6.417527891,26.82484953,4.114,146.0151027,10263.618,31700.87528,31678.43395,31662.50903,1.0854
BEL_2001,7.16380392,64.74642849,6.482741194,25.49414085,4.171,146.170935,10291.679,31771.28654,31757.53186,31827.72874,1.11751
BEL_2002,10.46332404,64.68926176,6.726480403,23.96062209,4.164,147.0833491,10311.97,32011.06949,32002.03084,32182.06008,1.06255
BEL_2003,10.0517353,64.75779232,6.762280863,23.87047907,4.161,146.677668,10330.824,32200.88371,32192.28857,32383.03973,0.886034
BEL_2004,11.15168292,63.69435542,6.571734997,24.99899752,4.204,150.339505,10348.276,33282.0077,33281.07397,33379.97646,0.805365
BEL_2005,7.465,63.20904121,6.448931018,26.39706688,4.264,153.876348,10364.388,33892.67915,33892.67915,33892.67915,0.80412
BEL_2006,7.68761257,62.41854188,6.27910601,26.94293932,4.311,157.3905105,10379.067,34822.05333,34822.05333,34759.62371,0.797141
BEL_2007,7.90116426,61.55886468,6.244463179,27.98434607,4.383,160.7017467,10392.226,35876.6183,35871.43317,35728.1311,0.730638
BEL_2008,-9.08622544,62.16382389,6.346649918,28.27675984,4.461,162.9702498,10403.951,36178.3672,36172.72948,36030.7451,0.682675
BEL_2009,-8.105146,65.13664438,6.537175665,25.78919895,4.453,150.5200445,10414.336,34825.93695,34825.33171,34896.21278,0.719843
BEL_2010,7.37104513,65.1037743,6.313936656,24.94862644,4.484,160.997839,10423.493,35556.61991,35558.52364,35654.36964,0.755045
CAN_1980,-2.9105328,70.97499257,7.566446821,19.30226675,10.97,39.66399486,24593.3,23583.3238,23590.3733,23885.8056,1.16922
