"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Immune.system","Endocrine.system","Circulatory.system","Digestive.system","Excretory.system","Nervous.system","Sensory.system","Development","Environmental.adaptation"
"sig_29",-0.255514610545376,0.255223084001666,-0.209922691552316,-0.164550884397498,-0.150666110148187,0.0185225430975033,0.0802550612076135,0.840944723008839,-0.164467178051678,-0.151377547338132,-0.111442724663397,-0.130858627893281,-0.144417424722864,-0.0290795453773644,-0.023883956487721,-0.125052199180008,-0.0583715124166744,-0.0236161918330377,-0.0846611859080606,-0.118142097055145,-0.106233889913552,-0.0230382036748077,0.263963834818464,-0.0311511006015167,-0.101881990811593,0.238763207166263,-0.00768375992136875,0.374945076781308,1,0.0694158866922854,0.0177086165667073,0.108653491577979,0.0480417880778215,-0.0530876279522845,0.0809393236424844,0.104698033591887,0.00824370712276218,0.0140626256278308
"Immune.system",-0.0638847513463722,0.0321736110798987,-0.059990332143153,-0.0559439279260003,-0.051211403370257,0.260844397382688,-0.00278925392456205,0.105204540775754,-0.0247393776760324,-0.0528997706192648,-0.054369637606741,0.0519379892246989,-0.0348078871472266,0.00583711521518789,-0.00829805936761611,-0.0679168768258846,0.115263888277689,0.0569158842566243,0.0281757973128647,-0.0425283002287832,0.0101648834174142,-0.013840556617656,0.307429396520903,0.0655263735664813,-0.0170708101442935,0.181156888870374,-0.0191687170064364,0.0538332829146302,0.0694158866922854,1,0.720487606294195,0.713401371357132,0.615550200356297,0.704762537064664,0.711810519788358,0.756734811500458,0.771120083589434,0.458557672721494
"Endocrine.system",-0.0451866651165706,-0.0394729593975323,0.0373760310334926,0.107118620222647,-0.0585460087943859,0.154235747896326,0.0144363912322694,0.00940062993807041,-0.00372054263968672,0.00692481693981966,0.070993335899869,0.118547355942311,0.0563362501930212,0.078050973010005,-0.0369536951773147,-0.0439591349802626,0.126609959458564,0.0329684589606212,0.124549201828074,-0.0541446229904826,0.00697480865613004,-0.0170223258461754,0.207627272382353,0.156351924027147,-0.0431895265128734,0.220509220569604,-0.0412601771382237,0.0544270143574117,0.0177086165667073,0.720487606294195,1,0.826918338048894,0.858277614597507,0.761789888483629,0.919451659625933,0.921927010054817,0.321557965873054,0.87752048706027
"Circulatory.system",-0.0804957202874306,-0.0379437718573079,-0.0453690232795349,-0.00553169524486322,-0.059355193744671,0.173978023265863,0.0643498055619619,0.0640292125231068,-0.026961295433538,-0.0334290696126977,-0.0255998676328474,0.0660337555601105,-0.0336714100015939,0.142126362482564,-0.0324241389449866,-0.0643128728546014,0.208156381700222,0.097571094587305,0.0559953199043473,-0.0486170647192781,-0.0115644659658973,0.0595612376492034,0.290994302221295,0.0888217028160249,-0.0427537585214693,0.28507132719322,-0.0186714006787924,0.144076277516241,0.108653491577979,0.713401371357132,0.826918338048894,0.999999999999999,0.903813183430454,0.538425534852767,0.889991606230091,0.940597420456373,0.178183620058582,0.709032278355286
"Digestive.system",-0.0535221436798184,-0.086096638452906,-0.000728540151454714,-0.0152740578467375,0.02388077167683,0.136733531508518,0.0363698805969965,0.00953375220412773,0.0410141288327293,0.0454105071050863,-0.0321682299067686,0.0777703936123001,-0.0504180001279062,0.0896841477634506,-0.0482405856773627,0.0236198658966367,0.162819458897422,0.104685993978593,0.0617959106937794,0.0812107493056783,-0.0187436544608229,0.0145318998554339,0.218110813472861,0.090784890705023,-0.028398000423179,0.286162715704585,-0.0334975294093594,0.0931911048539695,0.0480417880778215,0.615550200356297,0.858277614597507,0.903813183430454,1,0.581130079225949,0.880609900393375,0.901960674650237,0.110466353816821,0.796129256647399
"Excretory.system",-0.0740256171725773,-0.0546037056313796,0.0449887951359245,-0.0333927810126942,-0.0869049539142882,0.256380550502805,-0.0404621917264261,-0.0261189369114272,0.0136989222232029,-0.0181149223743929,-0.0533029675383048,0.145316970406089,0.0634917885112616,0.0150161596409052,-0.0457795330538118,-0.0897956151356699,0.0884988503245518,0.16939769781655,0.102352988565764,-0.068642270657418,-0.0074308517611686,-0.102933443475236,0.21656561931909,0.142729506726394,-0.058213061157792,0.106011423801149,-0.0726145946455992,-0.0667461640328539,-0.0530876279522845,0.704762537064664,0.761789888483629,0.538425534852767,0.581130079225949,1,0.72337624873757,0.683087045388887,0.52741176067596,0.664342077210101
"Nervous.system",-0.0833055874472201,-0.0508656106566231,0.0102949721423613,-0.0335762659339111,-0.0508016322372134,0.175922350923672,0.0567228818106043,0.0442231418361136,0.0815971619383821,0.0496212787158402,-0.0278340990289656,0.195410074739851,0.0500683464738655,0.105333532499039,-0.0395949263754399,-0.0431312668333698,0.183253903944408,0.137107767109998,0.152258339465351,-0.0490066468093537,0.0402791071416147,-0.00440594687639826,0.2421006489073,0.181107124697044,-0.0236692492094372,0.275077988901112,-0.0142862087393972,0.0927440923816798,0.0809393236424844,0.711810519788358,0.919451659625933,0.889991606230091,0.880609900393375,0.72337624873757,1,0.948396184043249,0.236514607494056,0.843454705063711
"Sensory.system",-0.0965894971128948,-0.0427348314762215,-0.0337631707202044,-0.0173646660663431,-0.0668739079159207,0.192971921796674,0.0535613756828302,0.0666564087914734,-0.00301274135827221,0.00247998047593846,-0.0145795673132292,0.13345556299027,-0.00486591949040155,0.160904733910001,-0.0366874358579401,-0.0642320501656523,0.22239587953835,0.117806378620656,0.122317138619269,-0.0520619795084231,-0.000199699944313777,0.0343473887260379,0.309608448738478,0.177608395007317,-0.0401442194100416,0.337422247223711,-0.0184219671940064,0.121179853765642,0.104698033591887,0.756734811500458,0.921927010054817,0.940597420456373,0.901960674650237,0.683087045388887,0.948396184043249,1,0.282490266836119,0.831538612666697
"Development",-0.0458427392974445,0.0517414502534783,-0.0523673464295712,-0.0650484855666031,-0.0433670486091852,0.163148748458253,-0.0861013244910512,0.0869441748705377,-0.0127780645693401,-0.0432510658617022,-0.0447658951303318,-0.000875239182939441,-0.0326146504913725,-0.0624572646890673,-0.0228447648359439,-0.0448095376740085,-0.0553209663052856,-0.0288295291249472,-0.0246731155660798,-0.0342536593619396,-0.0037081212867574,-0.0660135414482482,0.222712066775325,-0.0135187131622288,-0.0290493066184615,-0.0285808628312275,-0.0362359165259763,-0.0706482557865954,0.00824370712276218,0.771120083589434,0.321557965873054,0.178183620058582,0.110466353816821,0.52741176067596,0.236514607494056,0.282490266836119,0.999999999999999,0.0629639546875539
"Environmental.adaptation",-0.0447547976341533,-0.0463985862358856,0.0235390969896586,0.000148589348978316,-0.00900516829824391,0.157386401620101,0.0516663228183344,0.00345890283211488,0.00196746748983824,-0.00275356033485821,-0.029812743597966,0.133484112089826,0.00672755714633795,0.148859931495559,-0.0259786113555116,-0.049622461768935,0.0740039674762363,0.0335263490579689,0.130047568583152,-0.0389525788712783,0.0675406590673279,0.00759189770011684,0.174580887029002,0.170157517534269,-0.0301863786566755,0.260959382145314,-0.0370940585466802,0.0259605343949857,0.0140626256278308,0.458557672721494,0.87752048706027,0.709032278355286,0.796129256647399,0.664342077210101,0.843454705063711,0.831538612666697,0.0629639546875539,1
