ID,death,protein metabolism,cell cycle and proliferation,other metabolic processes,signal transduction,stress response,developmental processes,cell adhesion,DNA metabolism,cell-cell signaling,other biological processes,cell organization and biogenesis,RNA metabolism,transport
K7EJU5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
K7EJU2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q14003,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q14004,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q14005,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q14008,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q9H3P2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q9BUV8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q9NUT2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P49407,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P49406,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C9JY00,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C9JY03,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q8IZJ0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Q8IZJ1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8IZJ6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B4DQ69,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P56937,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B1AH99,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C9J4G9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C9J4G8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C9J4G5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C9J4G7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E9PES4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B1AH94,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B1AH96,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K7ELG0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
M0QYU1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K7ELG8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C6G488,0,1,0,0,0,0,0,0,0,0,0,0,0,0
M0QYU5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q9NW25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q9NYL2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q00975,0,0,0,0,0,0,0,0,0,0,0,0,0,1
G3V2C9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G3V2C8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q00973,0,0,0,1,0,0,0,0,0,0,0,0,0,0
G3V2C6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
G3V2C0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P22888,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q9NYL5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E7EP88,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C9K0F9,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P39023,0,0,0,0,0,0,0,0,0,0,1,0,0,0
J3QLK0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C9K0F3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C9K0F2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
J3QLK9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
J3QLK8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
D6RIF4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D6RIF0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
H0Y9M8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q2HNT4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
H0Y9M3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q6TDP4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F8VW66,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M0QZM9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F8VW64,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C9JWJ3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
M0QZM1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C9JFM5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C9JFM4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C9JFM7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Q5VW43,0,0,0,0,0,0,0,0,0,0,0,0,1,0
G3V4U2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
G3V3C8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
G3V3C6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
G3V3C7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
G3V3C0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C9JKV3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Q9NV20,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q9P219,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q9NV29,0,0,0,0,0,0,1,0,0,0,0,0,0,0
B4E363,0,0,0,0,0,0,0,0,0,0,0,0,1,0
E5RJX0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E5RJX2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
E5RJX3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
E5RJX4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q9UQ26,0,0,0,0,0,0,0,0,0,1,0,0,0,0
E5RJX7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E5RJX9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
D6RCP9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q86UA6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q86UA1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
D6RCP5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
D6RCP7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q8WU20,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q7RTU9,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B7ZA51,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q7RTU3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q7RTU1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q7RTU0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q7RTU7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q7RTU5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q7RTU4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q96CU9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q969I6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P0C7I0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C9IYZ1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O43914,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O43915,0,0,0,0,0,0,0,0,0,0,1,0,0,0
O43916,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O43918,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C9IYZ9,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Q9Y6G3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B7ZL81,0,0,0,0,0,0,0,0,0,0,0,0,1,0
