"","EC1","EC2","EC3","EC4","EC5","EC6"
"ec:2.3.1.1",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.12",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.15",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.158",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.16",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.179",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.181",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.23",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.24",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.31",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.35",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.37",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.39",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.4",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.42",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.50",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.51",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
